District_Name,n,stunted,prior_alpha,prior_beta,posterior_alpha,posterior_beta,posterior_mean,posterior_ci_low,posterior_ci_high,raw_prev,shrinkage
BENUKI,51,33,1.3766239994896212,1.7523783715238128,34.376623999489624,19.75237837152381,0.6350869680520588,0.503856816281443,0.7568588116016453,0.6470588235294118,-0.011971855477353022
MAMBERAMO HILIR,65,20,1.3766239994896212,1.7523783715238128,21.37662399948962,46.75237837152381,0.3137668724851994,0.20999675242074212,0.42789288983640755,0.3076923076923077,0.006074564792891701
MAMBERAMO HULU,35,7,1.3766239994896212,1.7523783715238128,8.37662399948962,29.75237837152381,0.2196916645754605,0.10511715811604215,0.3620378324746478,0.2,0.019691664575460482
MAMBERAMO TENGAH,120,16,1.3766239994896212,1.7523783715238128,17.37662399948962,105.75237837152382,0.14112535361189898,0.08567617566082207,0.20759302886469122,0.13333333333333333,0.007792020278565653
MAMBERAMO TENGAH TIMUR,19,3,1.3766239994896212,1.7523783715238128,4.376623999489621,17.75237837152381,0.19777773647954952,0.06409957572038508,0.38277761640935626,0.15789473684210525,0.039882999637444266
SAWAI,141,107,1.3766239994896212,1.7523783715238128,108.37662399948962,35.75237837152381,0.751941817515042,0.6785279630702665,0.8187352586991933,0.7588652482269503,-0.006923430711908374
WAROPEN ATAS,176,142,1.3766239994896212,1.7523783715238128,143.37662399948962,35.75237837152381,0.8004098839479205,0.7389991914426169,0.8554708373696659,0.8068181818181818,-0.006408297870261315
