variable,exposed_stunting_n,exposed_nonstunting_n,unexposed_stunting_n,unexposed_nonstunting_n,stunting_prev_exposed,stunting_prev_unexposed,risk_ratio,odds_ratio,or_ci_low,or_ci_high,fisher_p
Gender,194,154,134,125,0.5574712643678161,0.5173745173745173,1.0775004288900327,1.1751308393099438,0.8511368744223872,1.6211594065714268,0.36513888957464086
Exclusive_Milky,238,83,90,196,0.7414330218068536,0.3146853146853147,2.3561093804084456,6.24471218206158,4.360288073775969,8.820974848966966,2.5312924371301586e-26
Smoke_Habit,167,128,161,151,0.5661016949152542,0.5160256410256411,1.097041793873039,1.2236510093167703,0.8885184135173999,1.6828179943222459,0.22264566734142716
PureWater_Access,141,144,187,135,0.49473684210526314,0.5807453416149069,0.8518998029833942,0.7068850267379679,0.5137289984014214,0.9748081485262025,0.03438294886940741
Healthy_Toilet,78,118,250,161,0.3979591836734694,0.6082725060827251,0.6542448979591836,0.4256949152542373,0.3018368084735144,0.6043103126300087,1.5012313487402944e-06
Difficult_Acess,302,131,26,148,0.6974595842956121,0.14942528735632185,4.66761414105525,13.122724603640634,8.127617847665178,20.44547178267868,3.2756523563260655e-36
